time,EAR
45:37:422650,0.2578011096941777
45:37:422650,0.2637846222118735
45:37:422650,0.27665998389983565
45:37:422650,0.2763011656358809
45:37:422650,0.2613345997578642
45:37:422650,0.29009486809967544
45:37:422650,0.24268852630837226
45:37:422650,0.2914422236559526
45:37:422650,0.3186754967095601
45:37:422650,0.3069378628999112
45:38:578186,0.3131389859067194
45:38:578186,0.3070649475712159
45:38:578186,0.2940815227254488
45:38:578186,0.2972895915071938
45:38:578186,0.29497718494975256
45:38:578186,0.28498088162804125
45:38:578186,0.2650777284770123
45:38:578186,0.25635230565821654
45:38:578186,0.20544080575109333
45:38:578186,0.16694084447822968
45:39:880200,0.14166346082394332
45:39:880200,0.154715676284399
45:39:880200,0.20300341476486838
45:39:880200,0.14688814920240137
45:39:880200,0.1616722855519767
45:39:880200,0.15902162161241623
45:39:880200,0.1836687501582008
45:39:880200,0.162546041960011
45:39:880200,0.16463197172468846
45:39:880200,0.22240465504011925
45:41:220298,0.17067311986973271
45:41:220298,0.19013000456557863
45:41:220298,0.17110756096315033
45:41:220298,0.3356090579070055
45:41:220298,0.3075624985932339
45:41:220298,0.33516172874968586
45:41:220298,0.31404818239073484
45:41:220298,0.2887583718981949
45:41:220298,0.28497054008980915
45:41:220298,0.28966232481330345
45:42:528942,0.29147394414049177
45:42:528942,0.2997765079347445
45:42:528942,0.28884512822607816
45:42:528942,0.2563632883213271
45:42:528942,0.25879534581774843
45:42:528942,0.2566397976562808
45:42:528942,0.1548460598228933
45:42:528942,0.17078972084117572
45:42:528942,0.17113489190243958
45:42:528942,0.1767497220997035
45:43:730370,0.17522297437655748
45:43:730370,0.16880053124779923
45:43:730370,0.17513354252838653
45:43:730370,0.18241478646222847
45:43:730370,0.212631318623054
45:43:730370,0.16679141467747158
45:43:730370,0.19790783833892003
45:43:730370,0.18379602131915262
45:43:730370,0.16586079036121804
45:43:730370,0.19352855519304066
45:44:927693,0.17679425045079206
45:44:927693,0.31466309900120937
45:44:927693,0.2952715402283593
45:44:927693,0.30113232943175483
45:44:927693,0.3277585671727138
45:44:927693,0.31647469928051425
45:44:927693,0.2986055606206627
45:44:927693,0.26789719308732773
45:44:927693,0.23254685910462036
45:44:927693,0.26606130784366067
45:46:109775,0.2402136187244886
45:46:109775,0.2659732219383314
45:46:109775,0.2978389520468975
45:46:109775,0.3119977252226923
45:46:109775,0.3118083702164333
45:46:109775,0.27649945025966516
45:48:443662,0.26496610835705625
45:48:443662,0.31805159209426664
45:49:599781,0.3400266855152263
45:49:599781,0.28402188652352445
45:49:599781,0.26583999402846775
45:49:599781,0.311068884626117
45:49:599781,0.3399974464637828
45:49:599781,0.32911571031052794
45:50:890518,0.2864248886595544
45:50:890518,0.29821603955403464
45:50:890518,0.29414866375082754
45:50:890518,0.22933117593151947
45:52:058286,0.21531495174084225
45:52:058286,0.3496267633396857
45:52:058286,0.3193843742385317
45:53:245303,0.26182987612786224
45:53:245303,0.30212316738644096
45:53:245303,0.2841802014445227
45:53:245303,0.2931433003579672
45:53:245303,0.2662716013237995
45:53:245303,0.2193323631172478
45:54:405806,0.2544674346498703
45:54:405806,0.3096311605688691
45:54:405806,0.2527785213831194
45:54:405806,0.29657542306582796
45:54:405806,0.30376202447875933
45:54:405806,0.30695838807799003
45:55:580662,0.286490424473519
45:55:580662,0.2950927894328286
45:55:580662,0.29492522850008224
45:56:833077,0.297595890920325
45:56:833077,0.27681399517564875
45:56:833077,0.2967435816680084
45:56:833077,0.1545165065365021
45:56:833077,0.21804472733446112
45:56:833077,0.25793904055027406
45:56:833077,0.2824943095636967
45:56:833077,0.2880639102039251
45:56:833077,0.22760008235760898
45:56:833077,0.25235862722107116
45:58:125128,0.29767768284602
45:58:125128,0.33366168307576977
45:58:125128,0.3133905227596512
45:58:125128,0.31592165401955197
45:58:125128,0.30484148220795304
45:58:125128,0.29613231299115467
45:58:125128,0.17044741802775717
45:58:125128,0.15084431244180657
45:58:125128,0.3737597083187647
45:58:125128,0.32544525914939393
45:59:406938,0.34959024387114834
45:59:406938,0.3469191062420124
45:59:406938,0.3602598361102305
45:59:406938,0.2677239132683254
45:59:406938,0.17487801249311608
45:59:406938,0.3077322214202508
45:59:406938,0.3332813862871886
45:59:406938,0.22121288021500124
45:59:406938,0.2320317959022058
45:59:406938,0.32365270299669474
46:00:641014,0.33020330097961165
46:00:641014,0.33167696536286506
46:00:641014,0.3584532625699697
46:00:641014,0.35795983480817467
46:00:641014,0.33194772220334295
46:00:641014,0.2221572495043106
46:00:641014,0.26495574295669366
46:00:641014,0.29500707328909287
46:00:641014,0.3270553861610631
46:00:641014,0.32399805204607335
46:01:889809,0.34476333142366494
46:01:889809,0.15304334406148098
46:01:889809,0.2883309845271774
46:01:889809,0.3171286801130476
46:01:889809,0.3448821109548897
46:01:889809,0.3545478805819019
46:01:889809,0.35455821934906295
46:01:889809,0.19843169244643083
46:01:889809,0.32366168742639223
46:01:889809,0.2653878146783128
46:03:117310,0.17667041424179317
46:03:117310,0.2478404651852002
46:03:117310,0.2827967763200779
46:03:117310,0.30418296743859996
46:03:117310,0.2998819433425163
46:03:117310,0.24999050813722734
46:03:117310,0.18779137885205063
46:03:117310,0.2917449032702829
46:03:117310,0.34998332805704346
46:03:117310,0.3070161860402498
46:04:397572,0.3269847935146639
46:04:397572,0.35154842109316464
46:04:397572,0.3450679313727675
46:04:397572,0.2810765785456959
46:04:397572,0.24331050658017167
46:04:397572,0.32809740136227206
46:04:397572,0.3151657845469883
46:04:397572,0.30528197999786433
46:04:397572,0.2931866082973462
46:04:397572,0.26196973704305737
46:05:627001,0.17301496693321466
46:09:261762,0.2238784507006541
46:09:261762,0.3214974492066909
46:09:261762,0.3505070316170137
46:09:261762,0.3467172384785623
46:09:261762,0.35801365707019883
46:09:261762,0.34925279531714226
46:10:524343,0.25841346746264243
46:10:524343,0.3545866154978644
46:10:524343,0.34738983120642264
46:10:524343,0.36702992906683707
46:10:524343,0.34408275811419975
46:10:524343,0.32158677865339874
46:10:524343,0.15398722966677564
46:10:524343,0.15805118410556662
46:10:524343,0.1653079921677859
46:10:524343,0.17818346190884896
46:11:816519,0.16828812737718613
46:11:816519,0.16535952105857082
46:11:816519,0.1416744471847287
46:11:816519,0.17584518200902213
46:11:816519,0.16524904369523052
46:11:816519,0.19960160760877232
46:11:816519,0.16374252698094113
46:11:816519,0.16740530542595972
46:11:816519,0.1752400432691396
46:11:816519,0.17145534266196966
46:13:100695,0.17706480862877072
46:13:100695,0.1755131841425516
46:13:100695,0.1952030706924908
46:13:100695,0.17906158993108984
46:13:100695,0.185781545921277
46:13:100695,0.1968199695758296
46:13:100695,0.15407398455504995
46:13:100695,0.17068210633286468
46:13:100695,0.21199051635273908
46:13:100695,0.1945600763554979
46:14:319726,0.17985244618685337
46:14:319726,0.2168119572977556
46:14:319726,0.23632843426169636
46:14:319726,0.22263884752315594
46:14:319726,0.22022457282691438
46:14:319726,0.31085759573919575
46:14:319726,0.3318939668214469
46:14:319726,0.3791066059512142
46:14:319726,0.33544477849042964
46:14:319726,0.3541001226799093
46:15:569510,0.3739947285808495
46:15:569510,0.36333711482867315
46:15:569510,0.3611359155784897
46:15:569510,0.305468431890809
46:15:569510,0.15024449265436335
46:15:569510,0.20397829130107736
46:15:569510,0.22564407672253645
46:15:569510,0.287750054201643
46:15:569510,0.3116794168284919
46:15:569510,0.23071307470627417
46:16:840458,0.22202796385870252
46:16:840458,0.19205544633270882
46:16:840458,0.2381285652048817
46:16:840458,0.24237295080883287
46:16:840458,0.20567169267874227
46:16:840458,0.22421155151880523
46:16:840458,0.22663812867724684
46:16:840458,0.25344376590041373
46:16:840458,0.24511397450992206
46:16:840458,0.2501935657984297
46:17:996725,0.22880290597164624
46:17:996725,0.23124207021682758
46:17:996725,0.22633529133485122
46:17:996725,0.3029227521266044
46:17:996725,0.24805843851825202
46:17:996725,0.23942808067792448
46:17:996725,0.27450432802553393
46:17:996725,0.22560458607919992
46:17:996725,0.3211490190616134
46:17:996725,0.3317845938758001
46:19:164973,0.27978400618105814
46:19:164973,0.29082170766748044
46:19:164973,0.3649169487834749
46:19:164973,0.36473565763192756
46:19:164973,0.28476327356310593
46:19:164973,0.3514456243336247
46:19:164973,0.35934574498892674
46:19:164973,0.35237761247802774
46:19:164973,0.3487605433489964
46:19:164973,0.15596803236162166
46:20:381432,0.3214732958681574
46:20:381432,0.2258195377752769
46:20:381432,0.3212672015187734
46:20:381432,0.2898796188006052
46:20:381432,0.3034651301742397
46:20:381432,0.18608935321461006
46:20:381432,0.18168527446687985
46:20:381432,0.19648496102254537
46:20:381432,0.21027874057067975
46:20:381432,0.1720423646155857
46:21:675085,0.17073447928050073
46:21:675085,0.18357879795975124
46:21:675085,0.22352574004320358
46:21:675085,0.2105181732150973
46:21:675085,0.21534692701243247
46:21:675085,0.203008206943042
46:21:675085,0.1854182092667789
46:21:675085,0.27928349867016145
46:21:675085,0.3313464286735287
46:21:675085,0.33675301624871473
46:22:864643,0.37293973386949497
46:22:864643,0.35072263398550285
46:22:864643,0.36884795280171895
46:22:864643,0.22822182776408817
46:22:864643,0.22620538926581302
46:22:864643,0.2753411167266837
46:22:864643,0.2716247040429896
46:22:864643,0.2697933023229847
46:22:864643,0.2876970003553291
46:22:864643,0.31205904002990664
46:24:258325,0.27779092939137773
46:24:258325,0.31997363313961025
46:24:258325,0.3693957264416148
46:24:258325,0.37048690254350447
46:24:258325,0.3792101142023473
46:24:258325,0.36523072284911395
46:24:258325,0.3718365517136437
46:24:258325,0.3718365517136437
46:24:258325,0.3776276322201002
46:25:747731,0.30619799595602093
46:25:747731,0.3050047775187278
46:25:747731,0.32627586141434917
46:25:747731,0.3078990476655047
46:25:747731,0.3171193580554993
46:25:747731,0.305328723091133
46:25:747731,0.34596578554856994
46:25:747731,0.34422839324326404
46:25:747731,0.35528460465846173
46:25:747731,0.3628167752303331
46:26:919789,0.3294046270671621
46:26:919789,0.16482711153530566
46:26:919789,0.28554033218195485
46:26:919789,0.29746654958182706
46:26:919789,0.29899502405842254
46:26:919789,0.30577453696004653
46:26:919789,0.310230312092979
46:26:919789,0.31138960037745134
46:26:919789,0.2999053121592302
46:26:919789,0.2954013175513672
46:28:210136,0.3156390775948896
46:28:210136,0.3175141511002622
46:28:210136,0.31434099234566343
46:28:210136,0.24544587412713734
46:28:210136,0.23222415493324466
46:28:210136,0.25382786640973665
46:28:210136,0.2573398966506103
46:28:210136,0.2658475816873442
46:28:210136,0.26315978826079617
46:28:210136,0.2633537600133007
46:29:419464,0.23893478663758655
46:29:419464,0.20790236531649559
46:29:419464,0.2651561410166151
46:29:419464,0.267088871203609
46:29:419464,0.2933886847915059
46:29:419464,0.2741963364693876
46:29:419464,0.24257632182942063
46:29:419464,0.18192464816376364
46:29:419464,0.18672255745483493
46:29:419464,0.18636778869848963
46:30:667957,0.2651550168458584
46:30:667957,0.295996937526788
46:30:667957,0.2716396640743201
46:30:667957,0.28967624988591045
46:30:667957,0.2784336341903067
46:30:667957,0.24950982550382073
46:30:667957,0.2679755950701044
46:30:667957,0.23971778984509493
46:30:667957,0.2703031068429139
46:30:667957,0.24405915935675843
52:17:974707,0.24628265195312832
52:17:974707,0.2790061559101995
52:17:974707,0.2762385005201246
52:17:974707,0.25693009145568146
52:17:974707,0.29923531948680304
52:17:974707,0.34122297653577194
52:17:974707,0.3288650266097764
52:17:974707,0.3233498499256635
52:17:974707,0.32507397131300514
52:17:974707,0.28868835075833255
52:19:260209,0.2723334758003651
52:19:260209,0.30797242468384883
52:19:260209,0.2757277333309661
52:19:260209,0.25964773620095055
52:19:260209,0.301734208605129
52:19:260209,0.2692662900381462
52:19:260209,0.25011765037037326
52:19:260209,0.2762979433875846
52:19:260209,0.27853626134697224
52:19:260209,0.2916510071083178
52:20:668655,0.3274162524705782
52:20:668655,0.3271701486771701
52:20:668655,0.31038577053117034
52:20:668655,0.3231408618739049
52:20:668655,0.31711266883193995
52:20:668655,0.3077064049831093
52:20:668655,0.3133244702461697
52:20:668655,0.31898468315465167
52:20:668655,0.2538228856538717
52:20:668655,0.2863229081101263
52:21:992872,0.28476073520306033
52:21:992872,0.2834867844505996
52:21:992872,0.27964091394418156
52:21:992872,0.2762489223459149
52:21:992872,0.2700968280615089
52:21:992872,0.27045585991327326
52:21:992872,0.3146243721371967
52:21:992872,0.31662336993884654
52:21:992872,0.33127603295431673
52:21:992872,0.3061238388498689
52:23:209448,0.3042751924776472
52:23:209448,0.32702227099856807
52:23:209448,0.2887783924419562
52:23:209448,0.3116011902320909
52:23:209448,0.3109354061419326
52:23:209448,0.3077748719173942
52:23:209448,0.3123138292961713
52:23:209448,0.32060434344170985
