time,EAR
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:17:974707,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:19:260209,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:20:668655,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:21:992872,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:23:209448,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:24:537446,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:25:886028,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,0
52:27:161744,1
52:27:161744,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:28:462811,0
52:29:764895,0
52:29:764895,0
52:29:764895,0
52:29:764895,1
52:29:764895,0
52:29:764895,0
52:29:764895,0
52:29:764895,0
52:29:764895,0
52:29:764895,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:30:934585,0
52:32:120565,0
52:32:120565,0
52:32:120565,0
52:32:120565,0
52:32:120565,0
52:32:120565,0
52:32:120565,1
52:32:120565,1
52:32:120565,0
52:32:120565,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:33:445337,0
52:34:726245,0
52:34:726245,1
52:34:726245,1
52:34:726245,0
52:34:726245,0
52:34:726245,0
52:34:726245,0
52:34:726245,0
52:34:726245,0
52:34:726245,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,0
52:35:956494,1
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:37:142656,0
52:38:368255,0
52:38:368255,0
52:38:368255,0
52:38:368255,0
52:38:368255,1
52:38:368255,0
52:38:368255,0
52:38:368255,0
52:38:368255,0
52:38:368255,0
52:39:656224,0
52:39:656224,0
52:39:656224,0
52:39:656224,0
52:39:656224,1
52:39:656224,1
52:39:656224,1
52:39:656224,0
52:39:656224,0
52:39:656224,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:40:918729,0
52:42:230078,0
52:42:230078,0
52:42:230078,0
52:42:230078,0
52:42:230078,0
52:42:230078,0
52:42:230078,1
52:42:230078,1
52:42:230078,0
52:42:230078,0
02:47:491835,1
02:47:491835,0
02:47:491835,0
02:47:491835,0
02:47:491835,0
02:47:491835,0
02:47:491835,0
02:47:491835,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:48:783135,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:51:262627,0
02:52:490473,0
02:52:490473,0
02:52:490473,0
02:52:490473,0
02:52:490473,0
02:52:490473,0
